run,kind,reward,control_hz,wheel_mode,speeds,total_steps,steps_done,n_episodes,best_g,last20_mean_g,all_mean_g,status,eval_g,log_unreliable,hypothesis,notes
PPO-70,ppo,v11.0,400,independent,80,1500000,38240,19,1.1861,0.8153,0.8153,stopped,,true,,"resumed from BC-D3; net 256x256x256; lr 1e-05; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-71,ppo,v11.0,400,independent,80,1500000,1507328,753,1.1679,0.8518,0.8541,completed,1.1853,true,,"resumed from BC-D3; net 256x256x256; probe eval ppo71_confirm.csv n=16 mean=1.1853 min=1.1752 max=1.1941; lr 1e-05; 400 Hz: episode log understates g, use eval; first_log_ts=2026-09-06"
PPO-72,ppo,v11.0,100,independent,80,5000000,631570,667,0.7858,0.4357,0.5024,stopped,,false,,net 256x256x256; lr 0.0001; first_log_ts=2026-09-09
PPO-73,ppo,v11.0,100,independent,80,5000000,25130,40,0.7441,0.6566,0.6589,stopped,,false,,net 256x256x256; lr 0.0001; first_log_ts=2026-09-09
BC-D1,bc,,400,independent,80,,,,,,,has_final,1.0375,false,,net 256x256x256; probe eval d1_eval.csv n=5 mean=1.0375 min=0.8478 max=1.2081; distilled checkpoint via distill_teacher.py (no episode log; config.json is the base config it inherited); first_log_ts=2026-09-06
BC-D2,bc,,400,independent,80,,,,,,,has_final,1.0437,false,,net 256x256x256; probe eval d2_eval.csv n=6 mean=1.0437 min=0.9866 max=1.1300; distilled checkpoint via distill_teacher.py (no episode log; config.json is the base config it inherited); first_log_ts=2026-09-06
BC-D2b,bc,,400,independent,80,,,,,,,has_final,1.096,false,,net 256x256x256; probe eval dagger3.csv n=14 mean=1.0960 min=0.9820 max=1.2020; distilled checkpoint via distill_teacher.py (no episode log; config.json is the base config it inherited); first_log_ts=2026-09-06
BC-D3,bc,,400,independent,80,,,,,,,has_final,1.1952,false,,net 256x256x256; probe eval d3_confirm.csv n=16 mean=1.1952 min=1.1861 max=1.2003; distilled checkpoint via distill_teacher.py (no episode log; config.json is the base config it inherited); first_log_ts=2026-09-06
BC-PPO-64,bc,,400,independent,80,,,,,,,has_final,0.723,false,,net 256x256x256; probe eval bc_eval.csv n=5 mean=0.7230 min=0.6156 max=0.8304; distilled checkpoint via distill_teacher.py (no episode log; config.json is the base config it inherited); first_log_ts=2026-09-06
BISECT-DIAG,probe,,,,,,,,,,,unknown,,false,,first_log_ts=2026-09-06
CONST035,probe,v11.0,100,axle,80,1500000,,,,,,has_final,,false,,net 256x256x256; first_log_ts=2026-09-06
DEPLOY-BC0,deploy,,,axle,80,,,,,,,has_final,,false,,net 256x256x256; deployment export run (config.json is the inherited base config); first_log_ts=2026-09-06
DEPLOY-BC1,deploy,,,axle,80,,,,,,,has_final,1.1192,false,,net 256x256x256; probe eval deploy_bc1.csv n=6 mean=1.1192 min=1.0762 max=1.1723; deployment export run (config.json is the inherited base config); first_log_ts=2026-09-06
DEPLOY-D1,deploy,,,axle,80,,,,,,,has_final,1.1588,false,,net 256x256x256; probe eval deploy_d1.csv n=8 mean=1.1588 min=1.1517 max=1.1677; deployment export run (config.json is the inherited base config); first_log_ts=2026-09-06
DEPLOY-D1R,deploy,,,axle,80,,,,,,,has_final,1.1661,false,,net 256x256x256; probe eval deploy_final.csv n=10 mean=1.1661 min=1.1626 max=1.1716; deployment export run (config.json is the inherited base config); first_log_ts=2026-09-06
EVAL-PPO-57,probe,,,,,,,,,,,has_final,0.9963,false,,probe eval ppo57_eval.csv n=6 mean=0.9963 min=0.9617 max=1.0207; first_log_ts=2026-09-06
corner_probe1,probe,,,,,,,5,0.7311,0.7118,0.7118,has_final,,false,,first_log_ts=2026-08-29
corner_probe2,probe,,,,,,,8,0.7216,0.6989,0.6989,has_final,,false,,first_log_ts=2026-08-29
ctl_corner_slam,probe,,,,,,,10,1.0253,1.0142,1.0142,has_final,,false,,first_log_ts=2026-08-29
